Id:14POPI01A,in:,0,az:,90,dip:,0,str:,0,m:,1.49,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-2.77E-06,6.69E-07,4.77E-07,0,C1,89,,,,,,,,,
,100RA,-2.83E-06,6.42E-07,4.69E-07,0,C1,90,,,,,,,,,
,100VA,-2.84E-06,6.60E-07,5.94E-07,0,C1,92,,,,,,,,,
,150RB,-2.88E-06,6.30E-07,4.39E-07,0,C1,93,,,,,,,,,
,150VB,-2.88E-06,6.24E-07,6.72E-07,0,C1,92,,,,,,,,,
,200RC,-2.87E-06,5.29E-07,3.66E-07,0,C1,90,,,,,,,,,
,200VC,-2.88E-06,5.11E-07,6.83E-07,0,C1,92,,,,,,,,,
,250RD,-2.82E-06,4.75E-07,1.33E-07,0,C1,99,,,,,,,,,
,250VD,-2.83E-06,4.34E-07,6.89E-07,0,C1,98,,,,,,,,,
,100PD,-2.81E-06,4.79E-07,5.69E-07,0,C1,0,,,,,,,,,
,300RE,-2.76E-06,2.93E-07,-1.31E-08,0,C1,98,,,,,,,,,
,300VE,-2.78E-06,2.09E-07,7.86E-07,0,C1,100,,,,,,,,,
,340RF,-2.68E-06,2.09E-07,-7.71E-08,0,C1,99,,,,,,,,,
,340VF,-2.70E-06,1.65E-07,9.78E-07,0,C1,99,,,,,,,,,
,250PF,-2.70E-06,1.58E-07,4.56E-07,0,C1,99,,,,,,,,,
,385RG,-2.55E-06,-3.95E-08,-2.07E-07,0,C1,101,,,,,,,,,
,385VG,-2.61E-06,-1.27E-07,1.23E-06,0,C1,99,,,,,,,,,
,430RH,-2.10E-06,1.57E-08,-5.63E-07,0,C1,96,,,,,,,,,
,430VH,-2.19E-06,-1.78E-07,1.48E-06,0,C1,0,,,,,,,,,
,340PH,-2.15E-06,-7.13E-08,4.85E-07,0,C1,102,,,,,,,,,
,470RI,-1.34E-06,2.81E-08,-1.19E-06,0,C1,99,,,,,,,,,
,470VI,-1.45E-06,-1.77E-07,1.75E-06,0,C1,96,,,,,,,,,
,495RJ,-7.91E-07,1.09E-07,-1.53E-06,0,C1,96,,,,,,,,,
,495VJ,-9.28E-07,-1.80E-07,1.99E-06,0,C1,101,,,,,,,,,
,430PJ,-8.26E-07,-3.08E-08,-1.08E-07,0,C1,95,,,,,,,,,
,515RK,-4.39E-07,1.27E-07,-1.90E-06,0,C1,93,,,,,,,,,
,515VK,-5.87E-07,-1.61E-07,2.09E-06,0,C1,94,,,,,,,,,
,530RL,-2.43E-07,1.56E-07,-2.08E-06,0,C1,94,,,,,,,,,
,530VL,-3.96E-07,-1.72E-07,2.17E-06,0,C1,93,,,,,,,,,
,495PL,-2.48E-07,1.16E-07,-1.37E-06,0,C1,0,,,,,,,,,
,530X+,2.88E-06,-2.70E-08,-1.09E-07,0,C1,92,,,,,,,,,
,530X-,-3.41E-06,-2.77E-07,2.48E-07,0,C1,92,,,,,,,,,
,530Y+,-3.87E-08,-3.39E-06,1.28E-07,0,C1,90,,,,,,,,,
,530Y-,-6.30E-07,3.30E-06,3.39E-10,0,C1,91,,,,,,,,,
,530ZB,-2.10E-07,1.61E-07,-2.01E-06,0,C1,89,,,,,,,,,
,530LL,-1.85E-07,1.65E-07,-2.23E-06,0,C1,87,,,,,,,,,
,530QL,-3.56E-07,-1.71E-07,2.14E-06,0,C1,90,,,,,,,,,
,540RM,-1.24E-07,1.64E-07,-2.17E-06,0,C1,0,,,,,,,,,
,540VM,-2.98E-07,-1.82E-07,2.23E-06,0,C1,97,,,,,,,,,
,550RN,-7.64E-08,1.44E-07,-2.29E-06,0,C1,91,,,,,,,,,
,550VN,-2.34E-07,-1.77E-07,2.34E-06,0,C1,88,,,,,,,,,
,530PN,-7.34E-08,1.48E-07,-1.89E-06,0,C1,90,,,,,,,,,Id:14POPI01B,in:,0,az:,90,dip:,0,str:,0,m:,1.73,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-2.46E-06,1.83E-07,1.17E-06,0,C1,95,,,,,,,,,
,100RA,-2.47E-06,1.77E-07,1.11E-06,0,C1,99,,,,,,,,,
,100VA,-2.46E-06,2.40E-07,1.26E-06,0,C1,98,,,,,,,,,
,150RB,-2.42E-06,8.59E-08,9.53E-07,0,C1,103,,,,,,,,,
,150VB,-2.40E-06,2.09E-07,1.29E-06,0,C1,101,,,,,,,,,
,200RC,-2.27E-06,2.49E-07,7.78E-07,0,C1,105,,,,,,,,,
,200VC,-2.26E-06,1.14E-07,1.32E-06,0,C1,103,,,,,,,,,
,250RD,-2.10E-06,1.91E-07,4.24E-07,0,C1,107,,,,,,,,,
,250VD,-2.07E-06,1.00E-07,1.28E-06,0,C1,109,,,,,,,,,
,100PD,-2.07E-06,5.44E-08,1.04E-06,0,C1,106,,,,,,,,,
,300RE,-1.99E-06,4.58E-08,-1.70E-08,0,C1,111,,,,,,,,,
,300VE,-1.95E-06,2.03E-08,1.17E-06,0,C1,110,,,,,,,,,
,340RF,-1.89E-06,1.13E-07,-3.35E-07,0,C1,110,,,,,,,,,
,340VF,-1.85E-06,-2.18E-08,1.17E-06,0,C1,110,,,,,,,,,
,250PF,-1.87E-06,4.06E-08,2.72E-07,0,C1,113,,,,,,,,,
,385RG,-1.80E-06,9.53E-09,-6.15E-07,0,C1,111,,,,,,,,,
,385VG,-1.73E-06,-4.24E-08,1.23E-06,0,C1,111,,,,,,,,,
,430RH,-1.61E-06,-2.03E-08,-1.00E-06,0,C1,110,,,,,,,,,
,430VH,-1.53E-06,-1.33E-07,1.44E-06,0,C1,111,,,,,,,,,
,340PH,-1.58E-06,-3.56E-08,-8.65E-09,0,C1,0,,,,,,,,,
,470RI,-1.25E-06,-3.52E-09,-1.48E-06,0,C1,113,,,,,,,,,
,470VI,-1.19E-06,-1.90E-07,1.70E-06,0,C1,111,,,,,,,,,
,495RJ,-9.52E-07,2.32E-08,-1.84E-06,0,C1,111,,,,,,,,,
,495VJ,-8.82E-07,-1.52E-07,2.01E-06,0,C1,110,,,,,,,,,
,430PJ,-9.13E-07,-3.07E-08,-5.05E-07,0,C1,111,,,,,,,,,
,515RK,-6.80E-07,1.06E-07,-2.14E-06,0,C1,110,,,,,,,,,
,515VK,-6.21E-07,-1.93E-07,2.23E-06,0,C1,111,,,,,,,,,
,530RL,-4.81E-07,1.34E-07,-2.31E-06,0,C1,120,,,,,,,,,
,530VL,-4.24E-07,-1.51E-07,2.42E-06,0,C1,108,,,,,,,,,
,495PL,-4.75E-07,5.04E-08,-1.43E-06,0,C1,0,,,,,,,,,
,530X+,2.82E-06,2.13E-07,-1.21E-07,0,C1,0,,,,,,,,,
,530X-,-3.59E-06,-1.55E-07,2.33E-07,0,C1,0,,,,,,,,,
,530Y+,-4.42E-07,-3.19E-06,1.03E-07,0,C1,108,,,,,,,,,
,530Y-,-4.49E-07,3.11E-06,3.25E-08,0,C1,0,,,,,,,,,
,530ZB,-4.34E-07,1.82E-07,-2.30E-06,0,C1,106,,,,,,,,,
,530LL,-4.50E-07,2.27E-07,-2.51E-06,0,C1,101,,,,,,,,,
,530QL,-3.84E-07,-1.32E-07,2.35E-06,0,C1,104,,,,,,,,,
,540RM,-3.75E-07,1.43E-07,-2.47E-06,0,C1,104,,,,,,,,,
,540VM,-3.01E-07,-1.43E-07,2.51E-06,0,C1,104,,,,,,,,,
,550RN,-2.72E-07,1.36E-07,-2.65E-06,0,C1,103,,,,,,,,,
,550VN,-2.22E-07,-1.64E-07,2.68E-06,0,C1,104,,,,,,,,,
,530PN,-2.49E-07,1.33E-07,-2.06E-06,0,C1,103,,,,,,,,,Id:14POPI02A,in:,0,az:,90,dip:,0,str:,0,m:,1.22,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,2.23E-06,-2.08E-08,-2.51E-07,0,C1,53,,,,,,,,,
,100RA,2.22E-06,1.23E-08,-2.73E-07,0,C1,53,,,,,,,,,
,100VA,2.22E-06,-1.29E-07,-2.37E-07,0,C1,55,,,,,,,,,
,150RB,2.21E-06,8.30E-08,-2.89E-07,0,C1,55,,,,,,,,,
,150VB,2.21E-06,-4.49E-09,-2.19E-07,0,C1,55,,,,,,,,,
,200RC,2.19E-06,9.40E-08,-3.03E-07,0,C1,55,,,,,,,,,
,200VC,2.19E-06,-2.05E-08,-2.05E-07,0,C1,55,,,,,,,,,
,250RD,2.13E-06,-1.36E-08,-3.13E-07,0,C1,54,,,,,,,,,
,250VD,2.13E-06,-1.29E-07,-1.65E-07,0,C1,55,,,,,,,,,
,100PD,2.12E-06,-2.24E-08,-2.07E-07,0,C1,56,,,,,,,,,
,300RE,2.05E-06,-5.61E-08,-3.39E-07,0,C1,54,,,,,,,,,
,300VE,2.06E-06,-3.75E-08,-7.85E-08,0,C1,56,,,,,,,,,
,340RF,1.97E-06,-3.16E-08,-3.54E-07,0,C1,59,,,,,,,,,
,340VF,1.98E-06,-3.67E-08,-5.08E-08,0,C1,59,,,,,,,,,
,250PF,1.98E-06,-7.34E-08,-1.63E-07,0,C1,56,,,,,,,,,
,385RG,1.83E-06,5.98E-08,-4.09E-07,0,C1,53,,,,,,,,,
,385VG,1.84E-06,-4.24E-08,-7.60E-09,0,C1,54,,,,,,,,,
,430RH,1.60E-06,-1.32E-08,-4.88E-07,0,C1,55,,,,,,,,,
,430VH,1.61E-06,-3.25E-08,9.53E-08,0,C1,56,,,,,,,,,
,340PH,1.60E-06,-4.63E-08,-1.78E-07,0,C1,0,,,,,,,,,
,470RI,1.26E-06,2.57E-09,-6.12E-07,0,C1,54,,,,,,,,,
,470VI,1.29E-06,4.10E-08,2.78E-07,0,C1,53,,,,,,,,,
,495RJ,1.00E-06,-1.26E-08,-6.49E-07,0,C1,52,,,,,,,,,
,495VJ,1.03E-06,-1.11E-09,4.47E-07,0,C1,54,,,,,,,,,
,430PJ,1.01E-06,4.13E-08,-1.49E-07,0,C1,53,,,,,,,,,
,515RK,8.01E-07,2.11E-08,-7.85E-07,0,C1,53,,,,,,,,,
,515VK,8.38E-07,1.67E-08,5.55E-07,0,C1,52,,,,,,,,,
,530RL,6.37E-07,-1.87E-08,-8.67E-07,0,C1,52,,,,,,,,,
,530VL,6.74E-07,3.93E-09,6.72E-07,0,C1,51,,,,,,,,,
,495PL,6.22E-07,3.45E-08,-4.55E-07,0,C1,0,,,,,,,,,
,530X+,1.79E-06,-4.76E-08,-7.59E-08,0,C1,0,,,,,,,,,
,530X-,-4.88E-07,-2.56E-08,-7.07E-08,0,C1,58,,,,,,,,,
,530Y+,7.57E-07,-1.22E-06,-8.64E-08,0,C1,0,,,,,,,,,
,530Y-,4.62E-07,1.19E-06,-6.30E-08,0,C1,59,,,,,,,,,
,530ZB,5.81E-07,-8.67E-09,-8.09E-07,0,C1,51,,,,,,,,,
,530LL,5.75E-07,5.84E-09,-8.78E-07,0,C1,53,,,,,,,,,
,530QL,6.27E-07,-1.04E-09,6.53E-07,0,C1,0,,,,,,,,,
,540RM,4.94E-07,5.42E-09,-9.16E-07,0,C1,49,,,,,,,,,
,540VM,5.47E-07,1.83E-09,7.66E-07,0,C1,50,,,,,,,,,
,550RN,3.81E-07,-3.51E-09,-1.00E-06,0,C1,55,,,,,,,,,
,550VN,4.50E-07,-3.17E-09,8.88E-07,0,C1,0,,,,,,,,,
,530PN,3.85E-07,-2.74E-09,-6.40E-07,0,C1,50,,,,,,,,,
,560RO,2.60E-07,3.51E-09,-1.13E-06,0,C1,49,,,,,,,,,
,560VO,3.57E-07,3.03E-10,1.03E-06,0,C1,51,,,,,,,,,
,570RP,1.79E-07,1.55E-08,-1.17E-06,0,C1,51,,,,,,,,,
,570VP,2.88E-07,-9.54E-09,1.10E-06,0,C1,50,,,,,,,,,
,550PP,2.23E-07,1.82E-08,-8.61E-07,0,C1,0,,,,,,,,,Id:14POPI02B,in:,0,az:,90,dip:,0,str:,0,m:,1.99,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,3.35E-06,2.99E-08,-4.81E-07,0,C1,68,,,,,,,,,
,100RA,3.35E-06,1.53E-07,-4.84E-07,0,C1,68,,,,,,,,,
,100VA,3.35E-06,9.20E-08,-4.45E-07,0,C1,68,,,,,,,,,
,150RB,3.35E-06,8.25E-08,-4.89E-07,0,C1,68,,,,,,,,,
,150VB,3.35E-06,3.93E-08,-3.74E-07,0,C1,0,,,,,,,,,
,200RC,3.32E-06,6.57E-08,-4.89E-07,0,C1,68,,,,,,,,,
,200VC,3.31E-06,-1.90E-08,-3.31E-07,0,C1,69,,,,,,,,,
,250RD,3.22E-06,5.47E-08,-5.10E-07,0,C1,68,,,,,,,,,
,250VD,3.21E-06,1.55E-08,-2.80E-07,0,C1,68,,,,,,,,,
,100PD,3.20E-06,3.95E-08,-3.46E-07,0,C1,70,,,,,,,,,
,300RE,3.12E-06,1.29E-07,-5.26E-07,0,C1,70,,,,,,,,,
,300VE,3.11E-06,1.64E-07,-2.11E-07,0,C1,69,,,,,,,,,
,340RF,3.00E-06,1.12E-08,-5.14E-07,0,C1,68,,,,,,,,,
,340VF,2.99E-06,2.52E-08,-1.04E-07,0,C1,68,,,,,,,,,
,250PF,2.98E-06,-5.09E-08,-3.40E-07,0,C1,69,,,,,,,,,
,385RG,2.78E-06,1.88E-08,-6.33E-07,0,C1,69,,,,,,,,,
,385VG,2.79E-06,-1.12E-07,-2.69E-08,0,C1,69,,,,,,,,,
,430RH,2.43E-06,3.73E-08,-7.59E-07,0,C1,67,,,,,,,,,
,430VH,2.45E-06,6.28E-08,1.70E-07,0,C1,71,,,,,,,,,
,340PH,2.44E-06,1.64E-09,-2.74E-07,0,C1,0,,,,,,,,,
,470RI,1.95E-06,-2.88E-09,-9.55E-07,0,C1,71,,,,,,,,,
,470VI,1.97E-06,6.23E-08,4.12E-07,0,C1,75,,,,,,,,,
,495RJ,1.56E-06,4.87E-08,-1.11E-06,0,C1,66,,,,,,,,,
,495VJ,1.60E-06,9.61E-08,6.65E-07,0,C1,66,,,,,,,,,
,430PJ,1.57E-06,2.75E-08,-2.63E-07,0,C1,68,,,,,,,,,
,515RK,1.25E-06,2.45E-08,-1.25E-06,0,C1,72,,,,,,,,,
,515VK,1.29E-06,1.78E-08,8.55E-07,0,C1,66,,,,,,,,,
,530RL,9.82E-07,-2.86E-08,-1.35E-06,0,C1,67,,,,,,,,,
,530VL,1.02E-06,3.51E-08,1.07E-06,0,C1,67,,,,,,,,,
,495PL,9.53E-07,-6.51E-08,-7.03E-07,0,C1,66,,,,,,,,,
,530X+,2.74E-06,-7.25E-08,-1.94E-07,0,C1,66,,,,,,,,,
,530X-,-7.33E-07,-2.30E-08,-5.05E-08,0,C1,69,,,,,,,,,
,530Y+,1.12E-06,-1.73E-06,-2.25E-07,0,C1,65,,,,,,,,,
,530Y-,5.71E-07,1.79E-06,-1.80E-08,0,C1,0,,,,,,,,,
,530ZB,8.99E-07,-2.73E-09,-1.31E-06,0,C1,63,,,,,,,,,
,530LL,8.89E-07,2.51E-08,-1.39E-06,0,C1,63,,,,,,,,,
,530QL,9.65E-07,3.07E-08,1.02E-06,0,C1,63,,,,,,,,,
,540RM,7.58E-07,-2.98E-08,-1.46E-06,0,C1,70,,,,,,,,,
,540VM,8.34E-07,5.41E-08,1.20E-06,0,C1,64,,,,,,,,,
,550RN,6.01E-07,-9.75E-09,-1.57E-06,0,C1,0,,,,,,,,,
,550VN,6.80E-07,1.66E-08,1.37E-06,0,C1,62,,,,,,,,,
,530PN,6.05E-07,5.83E-09,-1.04E-06,0,C1,0,,,,,,,,,
,560RO,4.58E-07,-4.88E-08,-1.70E-06,0,C1,69,,,,,,,,,
,560VO,5.56E-07,4.30E-08,1.52E-06,0,C1,0,,,,,,,,,
,570RP,3.44E-07,-2.05E-08,-1.75E-06,0,C1,69,,,,,,,,,
,570VP,4.38E-07,3.68E-08,1.62E-06,0,C1,70,,,,,,,,,
,550PP,3.83E-07,-6.01E-09,-1.41E-06,0,C1,66,,,,,,,,,
,580RQ,2.47E-07,-2.57E-08,-1.81E-06,0,C1,65,,,,,,,,,
,580VQ,3.39E-07,4.71E-08,1.71E-06,0,C1,66,,,,,,,,,
,590RR,1.32E-07,-2.29E-08,-1.85E-06,0,C1,0,,,,,,,,,
,590VR,2.43E-07,5.13E-09,1.76E-06,0,C1,62,,,,,,,,,
,570PR,1.38E-07,-1.59E-08,-1.60E-06,0,C1,63,,,,,,,,,Id:14POPI02C,in:,0,az:,90,dip:,0,str:,0,m:,1.24,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0N0,2.54E-06,3.27E-07,-2.70E-07,0,C1,44,,,,,,,,,
,150RA,2.53E-06,3.44E-07,-2.99E-07,0,C1,43,,,,,,,,,
,150VA,2.54E-06,2.42E-07,-2.09E-07,0,C1,46,,,,,,,,,
,240RB,2.48E-06,1.68E-07,-3.02E-07,0,C1,47,,,,,,,,,
,240VB,2.46E-06,3.04E-07,-1.57E-07,0,C1,47,,,,,,,,,
,300RC,2.40E-06,1.56E-07,-3.36E-07,0,C1,45,,,,,,,,,
,300VC,2.38E-06,2.77E-07,-9.46E-08,0,C1,47,,,,,,,,,
,150PC,2.38E-06,2.08E-07,-1.88E-07,0,C1,46,,,,,,,,,
,350RD,2.31E-06,1.60E-07,-3.61E-07,0,C1,46,,,,,,,,,
,350VD,2.33E-06,1.18E-07,4.51E-08,0,C1,45,,,,,,,,,
,390RE,2.20E-06,2.12E-07,-4.22E-07,0,C1,46,,,,,,,,,
,390VE,2.19E-06,1.39E-07,4.10E-08,0,C1,0,,,,,,,,,
,300PE,2.18E-06,1.08E-07,-1.91E-07,0,C1,45,,,,,,,,,
,440RF,1.90E-06,1.31E-07,-5.35E-07,0,C1,46,,,,,,,,,
,440VF,1.87E-06,1.17E-07,1.98E-07,0,C1,45,,,,,,,,,
,480RG,1.55E-06,9.05E-08,-6.91E-07,0,C1,48,,,,,,,,,
,480VG,1.51E-06,5.82E-08,4.53E-07,0,C1,45,,,,,,,,,
,390PG,1.50E-06,7.69E-08,-1.57E-09,0,C1,0,,,,,,,,,
,510RH,1.14E-06,1.30E-07,-8.69E-07,0,C1,43,,,,,,,,,
,510VH,1.13E-06,1.49E-09,5.87E-07,0,C1,0,,,,,,,,,
,530RI,1.02E-06,8.26E-08,-9.10E-07,0,C1,45,,,,,,,,,
,530VI,9.28E-07,1.19E-08,8.12E-07,0,C1,45,,,,,,,,,
,480PI,8.90E-07,1.56E-08,-2.74E-07,0,C1,0,,,,,,,,,
,530X+,2.12E-06,1.25E-08,-9.16E-08,0,C1,0,,,,,,,,,
,530X-,-4.43E-07,2.56E-08,-3.40E-08,0,C1,42,,,,,,,,,
,530Y+,7.42E-07,-1.29E-06,-4.48E-08,0,C1,0,,,,,,,,,
,530Y-,6.92E-07,1.17E-06,-6.84E-08,0,C1,0,,,,,,,,,
,530ZB,7.22E-07,3.42E-09,-1.01E-06,0,C1,44,,,,,,,,,
,530LL,7.43E-07,4.60E-08,-1.05E-06,0,C1,0,,,,,,,,,
,530QL,7.92E-07,1.16E-08,7.29E-07,0,C1,0,,,,,,,,,
,540RJ,6.13E-07,2.28E-08,-1.12E-06,0,C1,0,,,,,,,,,
,540VJ,6.57E-07,-2.68E-08,9.85E-07,0,C1,42,,,,,,,,,
,550RK,5.08E-07,1.94E-08,-1.19E-06,0,C1,0,,,,,,,,,
,550VK,5.80E-07,-1.01E-08,1.05E-06,0,C1,43,,,,,,,,,
,530PK,5.30E-07,4.71E-08,-7.76E-07,0,C1,0,,,,,,,,,
,560RL,4.15E-07,2.32E-08,-1.27E-06,0,C1,45,,,,,,,,,
,560VL,4.74E-07,-1.21E-08,1.16E-06,0,C1,0,,,,,,,,,
,570RM,2.86E-07,4.12E-08,-1.34E-06,0,C1,0,,,,,,,,,
,570VM,3.68E-07,-2.90E-08,1.21E-06,0,C1,43,,,,,,,,,
,550PM,2.60E-07,-9.91E-10,-1.05E-06,0,C1,0,,,,,,,,,
,580RN,2.48E-07,2.74E-08,-1.34E-06,0,C1,43,,,,,,,,,
,580VN,3.35E-07,-2.27E-08,1.28E-06,0,C1,0,,,,,,,,,
,590RO,1.63E-07,3.78E-08,-1.38E-06,0,C1,0,,,,,,,,,
,590VO,2.51E-07,-1.66E-08,1.33E-06,0,C1,43,,,,,,,,,Id:14POPI05A,in:,0,az:,90,dip:,0,str:,0,m:,1.74,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-2.58E-06,-1.39E-06,-5.75E-07,0,C1,70,,,,,,,,,
,150RA,-2.68E-06,-1.33E-06,-7.06E-07,0,C1,75,,,,,,,,,
,150VA,-2.71E-06,-1.21E-06,-4.78E-07,0,C1,70,,,,,,,,,
,240RB,-2.56E-06,-1.17E-06,-8.27E-07,0,C1,77,,,,,,,,,
,240VB,-2.55E-06,-1.24E-06,-3.36E-07,0,C1,0,,,,,,,,,
,300RC,-2.48E-06,-1.03E-06,-9.13E-07,0,C1,74,,,,,,,,,
,300VC,-2.42E-06,-1.17E-06,-2.40E-07,0,C1,75,,,,,,,,,
